Name,Long,Lat
Ludgeriplatz,7.6278656,51.9559057
Hauptbahnhof,7.633947,51.9564762
Metzer Straße,7.6236142,51.9422175
Alter Schützenhof,7.6233408,51.945991
Merkureck,7.6328766,51.9140638
Südlohnweg,7.5616602,51.9761078
Amelsbüren Süd,7.6094117,51.8785503
Dreizehnerstraße,7.6116806,51.9826056
Gewerbegebiet Uhlenkotten,7.5694985,51.9944173
ehemalige Post,7.5626297,51.9977246
Haus Uhlenkotten,7.5748511,51.9918516
Heekweg,7.5633929,51.9734138
Mendelstraße,7.5964364,51.9693657
Mendelstraße,7.5965703,51.9691023
Zoo / Naturkundemuseum,7.589761,51.9495556
Venne Brücke,7.5519943,51.8697453
Am Breilbusch,7.5743533,51.9755561
Alexianer-Werkstätten,7.5601515,51.8774586
Germania-Campus,7.6121312,51.9768819
Middendorf,7.5276204,52.0103977
Middendorf,7.5262339,52.0110796
Einingweg,7.5431171,52.0047988
Geiststraße,7.6197079,51.9523
Kanalbrücke,7.6030642,51.8886537
Kanalbrücke,7.6039511,51.8884552
Freiherr-vom-Stein-Gymnasium,7.5681446,51.9610343
Freiherr-vom-Stein-Gymnasium,7.5671183,51.9616536
Gronowskistraße,7.5626509,51.967871
Schreiberstraße,7.5955135,51.9649783
Glasuritstraße,7.6515146,51.9044363
Alsenstraße,7.6406032,51.9691018
Piusallee,7.6387171,51.9665407
Alsenstraße,7.6403638,51.9693053
Piusallee,7.6377395,51.9663208
Wierling,7.5222606,51.9235503
Gewerbegebiet Kleimannbrücke,7.6620222,51.9945903
Sankt Michael-Kirche,7.579952,51.967411
Bismarckallee,7.6184069,51.9561908
Wilkinghege Golfplatz,7.5804299,51.9888563
Sankt Margareta-Kirche,7.6696723,51.9515057
Sankt Margareta-Kirche,7.6707059,51.9509496
Am Dornbusch,7.6096769,51.8801317
Kriegerweg,7.6029069,51.9220892
Twenteweg,7.5726193,51.9735003
Geiststraße,7.6184397,51.9518793
Amelsbüren Süd,7.6095404,51.8781712
Sudmühlenstraße,7.6696791,51.9987085
Wittlerbaum,7.6162362,51.8598718
Amelsbüren Festplatz,7.6043664,51.8853091
Hansa-Business-Park,7.5791033,51.8901844
Burg Hülshoff,7.5061508,51.9693457
Inselbogen / Sparkassenzentrale,7.6097974,51.9394979
Holtkamp,7.5724734,51.9277828
Venne Brücke,7.5527834,51.869966
Sprakel Nord,7.6228666,52.0409412
Twenhövenweg,7.7061833,51.918202
Cheruskerring,7.6234192,51.9740582
Alte Sternwarte,7.5855068,51.976002
Engelenschanze,7.6311146,51.9570693
Scheibenstraße,7.6251806,51.9421927
Alter Schützenhof,7.6224462,51.9457312
Alter Schützenhof,7.6225291,51.9458798
Clemenshospital,7.6158569,51.9330414
Paul-Gerhardt-Straße,7.5344859,51.94918
Autobahn Nord,7.5570351,51.9778675
Schonebeck,7.5427077,51.9877204
Brookweg,7.5086624,51.9528765
Brookweg,7.5069368,51.9530544
Weißes Kreuz,7.4931973,51.9462805
Weißes Kreuz,7.4930672,51.9462964
Brock 260,7.4791646,51.9450602
Brock 260,7.4790222,51.9451661
Mersmannsstiege,7.5919637,51.9300486
Davert,7.6148249,51.8494501
Hohe Geest / Hiltruper Museum,7.6409321,51.9051459
AGRAVIS,7.6352764,51.9400049
Schlüterstraße,7.5962775,51.9579664
Gelmerheide,7.6733526,52.0293927
Alexianer-Campus,7.566407,51.8766244
Nienkamp,7.6154106,51.9838083
Nienkamp,7.6164179,51.9838352
Drei Eichen,7.7108354,51.9962417
An den Loddenbüschen,7.6470567,51.9299013
Biederlackweg,7.6540355,51.9320888
Raphaelsklinik,7.6291837,51.9592105
Klemensstraße,7.6293256,51.9608829
Elisabet-Ney-Straße,7.6434918,51.9675184
Albachten Kirche,7.5276641,51.9245521
Abzweig Mariendorf,7.6624969,51.9869998
Im Sundern,7.6746718,51.98852
Coerder Liekweg,7.6559697,51.9962446
Neutor/Schlossplatz Nord,7.616189,51.966771
Schmeddingstraße,7.5894371,51.9607477
An der Alten Kirche,7.6359797,51.9051512
Herz-Jesu-Krankenhaus,7.6323474,51.9088261
Sophienstraße,7.6442825,51.9559457
Sophienstraße,7.6434577,51.9562494
Deutsche Rentenversicherung Westfalen,7.6360028,51.9763258
Deutsche Rentenversicherung Westfalen,7.6358166,51.9764987
Joseph-König-Straße,7.6333644,51.9856437
Bezirksregierung II,7.6363805,51.9837963
Anton-Bruchausen-Straße,7.6352693,51.9806684
Emdener Straße,7.6427853,51.9532885
Emdener Straße,7.6424959,51.9532692
Hauptbahnhof,7.6330591,51.9561342
Hauptbahnhof,7.6347631,51.9578702
Hauptbahnhof,7.6342306,51.9575345
Hauptbahnhof,7.6335897,51.9565534
Hauptbahnhof,7.6333106,51.9563344
Hauptbahnhof,7.6341117,51.9565172
Hohe Geist,7.5266852,51.9230233
Ludgeriplatz,7.6267335,51.9561335
Chirurgie,7.6000394,51.9590932
Mühlenhof,7.5961076,51.9529258
Am Max-Klemens-Kanal,7.6147805,52.0037668
Heidestraße,7.6724204,51.9240666
Gremmendorfer Weg,7.6673375,51.9286091
Gremmendorfer Weg,7.6673055,51.928868
Heekweg (Betriebshaltestelle),7.5635381,51.9711273
Am Knapp,7.6149261,52.0078751
Wolbeck Markt,7.7259616,51.9158031
Sültemeyer,7.7282067,51.9173322
Juffernkamp,7.728081,51.9123352
Orléans-Ring,7.6086949,51.9740757
Vennheideweg,7.6313918,51.9211195
Vennheideweg,7.6311651,51.921256
Nogatstraße,7.7164224,51.9106333
Roxel Hallenbad,7.5271978,51.9544066
Jungeblodtplatz,7.6042385,51.960227
Anton-Aulke-Straße,7.7194234,51.9083032
Kinderhaus Schulzentrum B,7.6041174,51.9972023
Telgter Straße / L793,7.7544777,51.9293356
Telgter Straße / L793,7.7535885,51.9298227
Goldene Brücke / Aasee,7.615427,51.9577381
Im Moorhock,7.6083256,51.9893867
Schützenstraße,7.6211678,51.9581504
Abzweig Angelmodde,7.71794,51.9327055
Hauptbahnhof,7.6339342,51.9563733
Hannaschweg,7.541952,52.0035618
Von-Schonebeck-Ring,7.5541332,51.9976658
Waldweg,7.5755889,51.9184145
Handorf Kaserne,7.7215162,52.0021591
Loddenheide / Beresa,7.6502698,51.9411713
Am Tiergarten,7.742324,51.9173425
Am Tiergarten,7.7421486,51.9173759
Grenkuhlenweg,7.7270561,51.9225114
Grenkuhlenweg,7.7272322,51.9223426
Anton-Bruchausen-Straße,7.6357383,51.9813261
Anton-Bruchausen-Straße,7.6357804,51.9812907
Hansaring,7.6361023,51.9518653
Hansaring,7.6361907,51.9528724
Rektoratsweg,7.6084989,51.9975458
Gallenkamp,7.6633695,51.9567885
Sprakel Bahnhof,7.6196819,52.041543
Krögerweg,7.657979,51.9243102
Hauptbahnhof,7.6334185,51.956331
Gelmer,7.6764112,52.0302011
Kriegerweg,7.6033507,51.9225672
Werneweg,7.6036895,51.9234077
Rudolf-Diesel-Straße,7.6644936,51.9906041
Hoyastraße,7.6222096,51.9699345
Schifffahrter Damm,7.654948,51.967977
Danziger Freiheit,7.6578548,51.9671489
Sprakel Nord,7.6230404,52.0411734
Feldstiegenkamp,7.5984229,51.997877
Kurhaus,7.7346999,51.9169536
Pommernstraße,7.6784007,51.918429
Pommernstraße,7.6777511,51.9192886
Danziger Freiheit,7.6560802,51.9675836
Gremmendorf Ehrenmal,7.6749024,51.9302792
Hansaring,7.6383755,51.9529993
Standesamt,7.6327737,51.9655713
Joseph-König-Straße,7.6333065,51.9857902
Alte Sternwarte,7.5853302,51.9762995
Heidkamp,7.6044501,51.9940367
Kinderhaus Schulzentrum A,7.6027994,51.9969023
Bonifatiusweg,7.6557364,51.9245006
Wienburgstraße,7.6211694,51.9842042
Wienburgstraße,7.6212067,51.98487
Dreilinden,7.6197636,52.0380961
Kinderhaus Schulzentrum C,7.6023126,51.9970338
Nordplatz,7.6230191,51.9726591
Hermann-Hesse-Straße,7.5533816,51.9959086
Isolde-Kurz-Straße,7.5484015,51.9933976
Einingweg,7.5435113,52.0044643
Feldstiege,7.5457196,52.0014721
Gewerbegebiet,7.548497,52.002794
Hägerstraße,7.5576485,51.9999284
Hermann-Hesse-Straße,7.553352,51.9953601
Häger Bahnhof,7.5616937,52.0218326
Häger Bahnhof,7.5619318,52.0225755
Heroldstraße,7.572898,51.9254092
Langemarckstraße,7.6274019,51.974287
Vollmer,7.5576267,52.0060183
Vollmer,7.5581878,52.0063975
Vorbergs Hügel,7.5606842,52.0140951
Vorbergs Hügel,7.5606329,52.0144711
Gievenbecker Reihe,7.578856,51.960711
Gievenbecker Reihe,7.5788615,51.9608394
Pirolweg,7.6797175,51.9296712
Zeisigweg,7.6849542,51.9304586
Mecklenbecker Straße,7.5790976,51.9339265
Technologiepark,7.6004008,51.9770431
Windbreede,7.6895502,51.9945195
Meinertzstraße,7.5951842,52.0004569
Killingstraße,7.5924389,52.0008356
Sankt Antonius-Kirche,7.6214954,51.9552547
Ludgeriplatz,7.6280046,51.95583
Heidegrund,7.6037465,52.0166016
Heidegrund,7.6037654,52.0167683
Hölkenbusch,7.594645,52.0366097
Hölkenbusch,7.594434,52.0367548
Höltene Schluse,7.5931099,52.0399938
Höltene Schluse,7.592819,52.0403198
Kleiheide,7.6005189,52.0239348
Kleiheide,7.6004995,52.0236294
Langenhorster Stiege,7.5971993,52.0307645
Langenhorster Stiege,7.5972482,52.0309476
Im Brook,7.5887282,52.0497285
Brentanoweg,7.6766976,51.9531485
Rudolf-Harbig-Weg,7.5949776,51.9716761
Werneweg,7.6041367,51.9245099
Domplatz Stadtrundfahrt,7.6246656,51.9621939
Tiergartenheide,7.7350828,51.8997794
Tiergartenheide,7.7347312,51.9007702
Hogenbergstraße,7.6187683,51.92693
Sporthalle Berg Fidel,7.622629,51.9284845
An der Kleikuhle,7.5313496,51.9571525
An der Kleikuhle,7.531501,51.9573158
Unbenannt,7.5256438,51.9658408
Unbenannt,7.5258703,51.9659532
Haus Hülshoff,7.5229078,51.9742564
Haus Hülshoff,7.5225848,51.974744
Unbenannt,7.5316438,51.9827499
Unbenannt,7.531239,51.9828152
Wegegabel,7.5250729,51.9631133
Wegegabel,7.5250968,51.9643052
Hiltrup Hallenbad,7.6395926,51.9006662
Unbenannt,7.5801089,51.9706377
Bremer Platz,7.6370703,51.9589754
Emil-Nolde-Weg,7.6728733,51.9008481
Asbeckweg,7.5691412,51.9714164
Am Herzkamp,7.683192,51.9071413
Am Herzkamp,7.6819352,51.9069611
Rubensstraße,7.6734992,51.9063466
Paul-Klee-Weg,7.677042,51.9026806
Abzweig Hiltrup,7.6881636,51.909561
Schmitz-Kühlken,7.6546373,51.9220353
Schmitz-Kühlken,7.6553739,51.9222061
Franz-Marc-Weg,7.6669264,51.9008359
Franz-Hitze-Haus,7.6029075,51.9558945
Unbenannt,7.7662369,51.9281046
Unbenannt,7.7681361,51.9282791
Domplatz,7.6262749,51.9620392
Lukaskirche,7.5972293,51.9633314
Lukaskirche,7.5971431,51.963445
